 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   1.9290  32.3706   0.5192   3.0060  0.39277E+01  0.39266E+01  0.11004E-02  0.39697E+01  0.84341E-04  0.72715E-01  0.38969E+01  0.10000E+01
    5.0140   1.9290  33.0213   0.5397   3.1247  0.33372E+01  0.33361E+01  0.10872E-02  0.33556E+01  0.60404E-04  0.60599E-01  0.32949E+01  0.10000E+01
    5.0140   1.7940  19.4986   0.1707   1.0317  0.69858E+02  0.69856E+02  0.15682E-02  0.82459E+02  0.10235E+00  0.40372E+01  0.78319E+02  0.10000E+01
    5.0140   1.7940  20.6481   0.1912   1.1556  0.55437E+02  0.55436E+02  0.14835E-02  0.64383E+02  0.57700E-01  0.28518E+01  0.61474E+02  0.10000E+01
    5.0140   1.7940  21.7393   0.2117   1.2795  0.44605E+02  0.44604E+02  0.14048E-02  0.51064E+02  0.33578E-01  0.20647E+01  0.48965E+02  0.10000E+01
    5.0140   1.7940  22.7808   0.2322   1.4034  0.36280E+02  0.36278E+02  0.13532E-02  0.41007E+02  0.20142E-01  0.15286E+01  0.39458E+02  0.10000E+01
    5.0140   1.7940  23.7790   0.2527   1.5272  0.29763E+02  0.29762E+02  0.12859E-02  0.33253E+02  0.12359E-01  0.11472E+01  0.32094E+02  0.10000E+01
    5.0140   1.7940  24.7392   0.2732   1.6511  0.24585E+02  0.24584E+02  0.12212E-02  0.27180E+02  0.77586E-02  0.87247E+00  0.26300E+02  0.10000E+01
    5.0140   1.7940  25.6656   0.2937   1.7750  0.20423E+02  0.20422E+02  0.11572E-02  0.22365E+02  0.49619E-02  0.67296E+00  0.21687E+02  0.10000E+01
    5.0140   1.7940  26.5619   0.3142   1.8988  0.17049E+02  0.17048E+02  0.11037E-02  0.18506E+02  0.32269E-02  0.52399E+00  0.17979E+02  0.10000E+01
    5.0140   1.7940  27.4310   0.3347   2.0227  0.14302E+02  0.14301E+02  0.10551E-02  0.15394E+02  0.21241E-02  0.41181E+00  0.14980E+02  0.10000E+01
    5.0140   1.7940  28.2754   0.3552   2.1466  0.12064E+02  0.12063E+02  0.10042E-02  0.12873E+02  0.14127E-02  0.32591E+00  0.12546E+02  0.10000E+01
    5.0140   1.7940  29.0973   0.3757   2.2705  0.10197E+02  0.10196E+02  0.95822E-03  0.10787E+02  0.94819E-03  0.25989E+00  0.10526E+02  0.10000E+01
    5.0140   1.7940  29.8985   0.3962   2.3943  0.85570E+01  0.85561E+01  0.91726E-03  0.90006E+01  0.64271E-03  0.20854E+00  0.87914E+01  0.10000E+01
    5.0140   1.7940  30.6807   0.4167   2.5182  0.72082E+01  0.72073E+01  0.88654E-03  0.75382E+01  0.44075E-03  0.16842E+00  0.73694E+01  0.10000E+01
    5.0140   1.7940  31.4453   0.4372   2.6421  0.60973E+01  0.60965E+01  0.85333E-03  0.63376E+01  0.30567E-03  0.13652E+00  0.62008E+01  0.10000E+01
    5.0140   1.7940  32.1935   0.4577   2.7659  0.51813E+01  0.51805E+01  0.82518E-03  0.53483E+01  0.21436E-03  0.11126E+00  0.52368E+01  0.10000E+01
    5.0140   1.7940  32.9266   0.4782   2.8898  0.43876E+01  0.43868E+01  0.80081E-03  0.45000E+01  0.15141E-03  0.91121E-01  0.44087E+01  0.10000E+01
    5.0140   1.7940  33.6454   0.4987   3.0137  0.36827E+01  0.36819E+01  0.77734E-03  0.37638E+01  0.10712E-03  0.74902E-01  0.36888E+01  0.10000E+01
    5.0140   1.7940  34.3509   0.5192   3.1375  0.31111E+01  0.31104E+01  0.75852E-03  0.31657E+01  0.75926E-04  0.61928E-01  0.31037E+01  0.10000E+01
    5.0140   1.7940  35.0440   0.5397   3.2614  0.26436E+01  0.26428E+01  0.75251E-03  0.26746E+01  0.54285E-04  0.51426E-01  0.26231E+01  0.10000E+01
    5.0140   1.6940  20.3843   0.1707   1.0638  0.59366E+02  0.59365E+02  0.12065E-02  0.70765E+02  0.97764E-01  0.37209E+01  0.66946E+02  0.10000E+01
    5.0140   1.6940  21.5871   0.1912   1.1915  0.47119E+02  0.47118E+02  0.11656E-02  0.55225E+02  0.54990E-01  0.26249E+01  0.52545E+02  0.10000E+01
    5.0140   1.6940  22.7292   0.2117   1.3192  0.37919E+02  0.37917E+02  0.11010E-02  0.43787E+02  0.31956E-01  0.19029E+01  0.41852E+02  0.10000E+01
    5.0140   1.6940  23.8194   0.2322   1.4469  0.30848E+02  0.30847E+02  0.10416E-02  0.35152E+02  0.19136E-01  0.14072E+01  0.33725E+02  0.10000E+01
    5.0140   1.6940  24.8645   0.2527   1.5747  0.25312E+02  0.25311E+02  0.98820E-03  0.28501E+02  0.11714E-01  0.10569E+01  0.27432E+02  0.10000E+01
    5.0140   1.6940  25.8700   0.2732   1.7024  0.20912E+02  0.20911E+02  0.93011E-03  0.23291E+02  0.73392E-02  0.80417E+00  0.22480E+02  0.10000E+01
    5.0140   1.6940  26.8404   0.2937   1.8301  0.17371E+02  0.17371E+02  0.88590E-03  0.19157E+02  0.46788E-02  0.62001E+00  0.18532E+02  0.10000E+01
    5.0140   1.6940  27.7793   0.3142   1.9578  0.14497E+02  0.14496E+02  0.84989E-03  0.15844E+02  0.30392E-02  0.48271E+00  0.15358E+02  0.10000E+01
    5.0140   1.6940  28.6899   0.3347   2.0855  0.12148E+02  0.12147E+02  0.80564E-03  0.13162E+02  0.19980E-02  0.37835E+00  0.12782E+02  0.10000E+01
    5.0140   1.6940  29.5747   0.3552   2.2132  0.10227E+02  0.10226E+02  0.76649E-03  0.10988E+02  0.13283E-02  0.29897E+00  0.10688E+02  0.10000E+01
    5.0140   1.6940  30.4361   0.3757   2.3410  0.86530E+01  0.86523E+01  0.73132E-03  0.92148E+01  0.89069E-03  0.23814E+00  0.89758E+01  0.10000E+01
    5.0140   1.6940  31.2760   0.3962   2.4687  0.72875E+01  0.72868E+01  0.70805E-03  0.77051E+01  0.60264E-03  0.19102E+00  0.75135E+01  0.10000E+01
