                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   1.7940  21.7393  0.44605E+02  0.51064E+02  0.33578E-01  0.48965E+02  0.51064E+02  0.33578E-01  0.48965E+02
    5.0140   1.7940  22.7808  0.36280E+02  0.41007E+02  0.20142E-01  0.39458E+02  0.41007E+02  0.20142E-01  0.39458E+02
    5.0140   1.7940  23.7790  0.29763E+02  0.33253E+02  0.12359E-01  0.32094E+02  0.33253E+02  0.12359E-01  0.32094E+02
    5.0140   1.7940  24.7392  0.24585E+02  0.27180E+02  0.77586E-02  0.26300E+02  0.27180E+02  0.77586E-02  0.26300E+02
    5.0140   1.7940  25.6656  0.20423E+02  0.22365E+02  0.49619E-02  0.21687E+02  0.22365E+02  0.49619E-02  0.21687E+02
    5.0140   1.7940  26.5619  0.17049E+02  0.18506E+02  0.32269E-02  0.17979E+02  0.18506E+02  0.32269E-02  0.17979E+02
    5.0140   1.7940  27.4310  0.14302E+02  0.15394E+02  0.21241E-02  0.14980E+02  0.15394E+02  0.21241E-02  0.14980E+02
    5.0140   1.7940  28.2754  0.12064E+02  0.12873E+02  0.14127E-02  0.12546E+02  0.12873E+02  0.14127E-02  0.12546E+02
    5.0140   1.7940  29.0973  0.10197E+02  0.10787E+02  0.94819E-03  0.10526E+02  0.10787E+02  0.94819E-03  0.10526E+02
    5.0140   1.7940  29.8985  0.85570E+01  0.90006E+01  0.64271E-03  0.87914E+01  0.90006E+01  0.64271E-03  0.87914E+01
    5.0140   1.7940  30.6807  0.72082E+01  0.75382E+01  0.44075E-03  0.73694E+01  0.75382E+01  0.44075E-03  0.73694E+01
    5.0140   1.7940  31.4453  0.60973E+01  0.63376E+01  0.30567E-03  0.62008E+01  0.63376E+01  0.30567E-03  0.62008E+01
    5.0140   1.7940  32.1935  0.51813E+01  0.53483E+01  0.21436E-03  0.52368E+01  0.53483E+01  0.21436E-03  0.52368E+01
    5.0140   1.7940  32.9266  0.43876E+01  0.45000E+01  0.15141E-03  0.44087E+01  0.45000E+01  0.15141E-03  0.44087E+01
    5.0140   1.7940  33.6454  0.36827E+01  0.37638E+01  0.10712E-03  0.36888E+01  0.37638E+01  0.10712E-03  0.36888E+01
    5.0140   1.7940  34.3509  0.31111E+01  0.31657E+01  0.75926E-04  0.31037E+01  0.31657E+01  0.75926E-04  0.31037E+01
    5.0140   1.7940  35.0440  0.26436E+01  0.26746E+01  0.54285E-04  0.26231E+01  0.26746E+01  0.54285E-04  0.26231E+01
    5.0140   1.6940  20.3843  0.59366E+02  0.70765E+02  0.97764E-01  0.66946E+02  0.70765E+02  0.97764E-01  0.66946E+02
    5.0140   1.6940  21.5871  0.47119E+02  0.55225E+02  0.54990E-01  0.52545E+02  0.55225E+02  0.54990E-01  0.52545E+02
    5.0140   1.6940  22.7292  0.37919E+02  0.43787E+02  0.31956E-01  0.41852E+02  0.43787E+02  0.31956E-01  0.41852E+02
    5.0140   1.6940  23.8194  0.30848E+02  0.35152E+02  0.19136E-01  0.33725E+02  0.35152E+02  0.19136E-01  0.33725E+02
    5.0140   1.6940  24.8645  0.25312E+02  0.28501E+02  0.11714E-01  0.27432E+02  0.28501E+02  0.11714E-01  0.27432E+02
    5.0140   1.6940  25.8700  0.20912E+02  0.23291E+02  0.73392E-02  0.22480E+02  0.23291E+02  0.73392E-02  0.22480E+02
    5.0140   1.6940  26.8404  0.17371E+02  0.19157E+02  0.46788E-02  0.18532E+02  0.19157E+02  0.46788E-02  0.18532E+02
    5.0140   1.6940  27.7793  0.14497E+02  0.15844E+02  0.30392E-02  0.15358E+02  0.15844E+02  0.30392E-02  0.15358E+02
    5.0140   1.6940  28.6899  0.12148E+02  0.13162E+02  0.19980E-02  0.12782E+02  0.13162E+02  0.19980E-02  0.12782E+02
    5.0140   1.6940  29.5747  0.10227E+02  0.10988E+02  0.13283E-02  0.10688E+02  0.10988E+02  0.13283E-02  0.10688E+02
    5.0140   1.6940  30.4361  0.86530E+01  0.92148E+01  0.89069E-03  0.89758E+01  0.92148E+01  0.89069E-03  0.89758E+01
    5.0140   1.6940  31.2760  0.72875E+01  0.77051E+01  0.60264E-03  0.75135E+01  0.77051E+01  0.60264E-03  0.75135E+01
    5.0140   1.6940  32.0962  0.61227E+01  0.64381E+01  0.41261E-03  0.62838E+01  0.64381E+01  0.41261E-03  0.62838E+01
    5.0140   1.6940  32.8980  0.51680E+01  0.54021E+01  0.28541E-03  0.52773E+01  0.54021E+01  0.28541E-03  0.52773E+01
    5.0140   1.6940  33.6828  0.43786E+01  0.45477E+01  0.19979E-03  0.44462E+01  0.45477E+01  0.19979E-03  0.44462E+01
    5.0140   1.6940  34.4518  0.37209E+01  0.38360E+01  0.14101E-03  0.37531E+01  0.38360E+01  0.14101E-03  0.37531E+01
    5.0140   1.6940  35.2060  0.31209E+01  0.32047E+01  0.10019E-03  0.31368E+01  0.32047E+01  0.10019E-03  0.31368E+01
    5.0140   1.6940  35.9465  0.26270E+01  0.26866E+01  0.71007E-04  0.26306E+01  0.26866E+01  0.71007E-04  0.26306E+01
    5.0140   1.6940  36.6739  0.22229E+01  0.22619E+01  0.50733E-04  0.22156E+01  0.22619E+01  0.50733E-04  0.22156E+01
    5.0140   1.5990  21.2893  0.50816E+02  0.61205E+02  0.94235E-01  0.57648E+02  0.61205E+02  0.94235E-01  0.57648E+02
    5.0140   1.5990  22.5469  0.40341E+02  0.47749E+02  0.52834E-01  0.45246E+02  0.47749E+02  0.52834E-01  0.45246E+02
    5.0140   1.5990  23.7413  0.32470E+02  0.37844E+02  0.30689E-01  0.36039E+02  0.37844E+02  0.30689E-01  0.36039E+02
    5.0140   1.5990  24.8815  0.26421E+02  0.30376E+02  0.18332E-01  0.29043E+02  0.30376E+02  0.18332E-01  0.29043E+02
